OFFICE,SGD.NUMBER,SGD.DATE,IMPORTER.TIN,FOB.VALUE,CIF.VALUE,TARIFF.DESCRIPTION,QUANTITE,TOTAL.TAXES,GROSS.WEIGHT,HS6,OFFICEHS6,SGD.WeekofYear
OO120,6475.0,05/09/2022,XAE11K616D,3872366,3872366,-- Colorants pigmentaires et pr�parations � base de ces colorants,3000.0,1250001.0,40500,320417.0,ML802320417,36.0
OO801,16094.0,15/07/2022,XA22XE51KA,4514400,4514400,"--- En poudre, en granul�s ou cristallis�s",800.0,1989949.0,40128,170199.0,ML801170199,28.0
OO801,432.0,07/01/2021,XAKAXXX6EP,104133,104133,- Roulements � rouleaux cylindriques,6.0,33618.0,3,848250.0,ML801848250,1.0
OO104,76641.0,24/09/2021,XAKXXX1AXJ,11173725,11173725,--- Autres,25.0,27934.0,49661,721391.0,ML104721391,39.0
OO801,517.0,26/09/2022,XA5115A2KF,36156968,36156968,"- Des types utilis�s pour les v�hicules et engins de g�nie civil, de travaux miniers et ",8.0,0.0,6021,401180.0,ML801401180,39.0
OO210,19965.0,30/08/2021,XA615X1A9X,8000000,8000000,- Pi�ces de finition,1000.0,3526400.0,18583,690740.0,ML210690740,35.0
OO200,2582.0,30/08/2022,XAKAXX1E6C,128250000,128250000,- Cigarettes contenant du tabac,855.0,116059171.0,14706,240220.0,ML200240220,35.0
OO104,27342.0,19/05/2022,XAKAXX2A2F,27999525,27999525,-- Neufs,1.0,69999.0,9295,870120.0,ML104870120,20.0
OO522,42.0,08/09/2021,X56XXXIIKV,2520000,2520000,-- Autres,800.0,453600.0,40000,252329.0,ML522252329,36.0
OO801,6627.0,07/04/2022,XE1XXE5E5H,7895475,7895475,"--- En poudre, en granul�s ou cristallis�s",700.0,3480327.0,35091,170199.0,ML801170199,14.0
OO801,18527.0,09/08/2022,X25XX11KEE,7650000,7650000,"--- En poudre, en granul�s ou cristallis�s",680.0,0.0,34000,170199.0,ML801170199,32.0
OO100,28772.0,13/12/2021,XA615X5E5R,2750000,2750000,-- Autres,880.0,495000.0,44000,252329.0,ML100252329,50.0
OO802,863.0,30/06/2022,XA51E6AXKY,22686000,22686000,- Cahiers,1296.0,9999989.0,18652,482020.0,ML802482020,26.0
OO210,6590.0,13/04/2022,XA611X52IB,33554205,33554205,- Ascenseurs et monte-charge,22.0,8851603.0,6872,842810.0,ML210842810,15.0
OO210,23351.0,04/10/2021,XAIIE1IXAL,9300000,9300000,-- Autres,1030.0,3002040.0,28570,760429.0,ML210760429,40.0
OO104,47232.0,15/06/2021,XA61EE69EC,4000000,4000000,"-- D'une �paisseur de 0,5�mm ou plus mais n'exc�dant pas 1�mm",20.0,10000.0,30000,720917.0,ML104720917,24.0
OO420,3051.0,20/06/2022,XA61I6XAEK,4000000,4000000,"- Autres, y compris les m�langes non vis�s dans les sous-positions pr�c�dentes",800.0,10000.0,40000,310290.0,ML420310290,25.0
